,sIEC,lb,ub
0,EX_34dhphe_b,0.0,1000
1,EX_4HPRO_b,0.0,1000
2,EX_5mthf_b,0.0,1000
3,EX_Lcystin_b,0.0,0
4,EX_SFCYS_b,0.0,1000
5,EX_adn_b,0.0,1000
6,EX_adocbl_b,0.0,1000
7,EX_ala_B_b,0.0,1000
8,EX_ala_D_b,0.0,1000
9,EX_ala_L_b,0.0,1000
10,EX_arg_L_b,0.0,1000
11,EX_ascb_L_b,0.0,1000
12,EX_asn_L_b,0.0,1000
13,EX_asp_D_b,0.0,1000
14,EX_asp_L_b,0.0,1000
15,EX_avite1_b,0.0,1000
16,EX_bildglcur_b,0.0,1000
17,EX_btn_b,0.0,1000
18,EX_chol_b,0.0,1000
19,EX_cholate_b,0.0,1000
20,EX_chsterol_b,0.0,1000
21,EX_cl_b,0.0,1000
22,EX_co_b,0.0,1000
23,EX_co2_b,0.0,1000
24,EX_crn_b,0.0,1000
25,EX_cys_L_b,0.0,1000
26,EX_cytd_b,0.0,1000
27,EX_dad_2_b,0.0,1000
28,EX_dcyt_b,0.0,1000
29,EX_dgsn_b,0.0,1000
30,EX_dhdascb_b,0.0,0
31,EX_din_b,0.0,1000
32,EX_duri_b,0.0,1000
33,EX_fe3_b,0.0,1000
34,EX_fru_b,0.0,1000
35,EX_gal_b,0.0,1000
36,EX_gam_b,0.0,1000
37,EX_gchola_b,0.0,1000
38,EX_glc_b,0.0,1000
39,EX_gln_L_b,0.0,1000
40,EX_glu_L_b,0.0,1000
41,EX_gly_b,0.0,1000
42,EX_gsn_b,0.0,1000
43,EX_h_b,0.0,1000
44,EX_h2o_b,0.0,1000
45,EX_hco3_b,-1.0,1000
46,EX_hdcea_b,0.0,1000
47,EX_his_L_b,0.0,1000
48,EX_ile_L_b,0.0,1000
49,EX_ins_b,0.0,1000
50,EX_k_b,0.0,1000
51,EX_lac_L_b,0.0,1000
52,EX_leu_L_b,0.0,1000
53,EX_lnlc_b,0.0,1000
54,EX_lnlnca_b,0.0,1000
55,EX_lnlncg_b,0.0,1000
56,EX_lpchol_hs_b,0.0,1000
57,EX_lys_L_b,0.0,1000
58,EX_man_b,0.0,1000
59,EX_met_L_b,0.0,1000
60,EX_na1_b,0.0,1000
61,EX_nac_b,0.0,1000
62,EX_ncam_b,0.0,1000
63,EX_o2_b,-1.0,1000
64,EX_ocdcea_b,0.0,1000
65,EX_octa_b,0.0,1000
66,EX_orn_b,0.0,1000
67,EX_pchol_hs_b,0.0,1000
68,EX_phe_L_b,0.0,1000
69,EX_phyQ_b,0.0,1000
70,EX_pi_b,0.0,1000
71,EX_pnto_R_b,0.0,1000
72,EX_pro-D_b,0.0,1000
73,EX_pro_L_b,0.0,1000
74,EX_ptrc_b,0.0,1000
75,EX_pydam_b,0.0,1000
76,EX_pydx_b,0.0,1000
77,EX_pydxn_b,0.0,1000
78,EX_q10h2_b,0.0,1000
79,EX_retn_b,0.0,1000
80,EX_rib_D_b,0.0,1000
81,EX_ribflv_b,0.0,1000
82,EX_sbt_D_b,0.0,1000
83,EX_ser_L_b,0.0,1000
84,EX_spmd_b,0.0,1000
85,EX_sprm_b,0.0,1000
86,EX_tag_hs_b,0.0,1000
87,EX_taur_b,0.0,1000
88,EX_tchola_b,0.0,1000
89,EX_thm_b,0.0,1000
90,EX_thr_L_b,0.0,1000
91,EX_thymd_b,0.0,1000
92,EX_trp_L_b,0.0,1000
93,EX_tyr_L_b,0.0,1000
94,EX_urate_b,0.0,1000
95,EX_urea_b,0.0,1000
96,EX_uri_b,0.0,1000
97,EX_val_L_b,0.0,1000
98,EX_vitd3_b,0.0,1000
99,EX_xolest2_hs_b,0.0,1000
100,EX_xylt_b,0.0,1000
101,EX_citr_b,0.0,1000
102,EX_C8CRN,0.0,1000
